variant,seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
pc1_no_qualification,11,8,gaussian_9_holdout,348,0.9252873563218391,1,23
pc1_no_qualification,11,8,gaussian_15_holdout,348,0.9339080459770115,1,21
pc1_no_qualification,11,8,blur_0.8,348,0.9568965517241379,1,13
pc1_no_qualification,11,8,blur_1.5,348,0.8850574712643678,1,37
pc1_no_qualification,11,8,blur_1.2_holdout,348,0.9166666666666666,1,27
pc1_no_qualification,11,8,blur_1.8_holdout,348,0.8591954022988506,1,45
pc1_no_qualification,11,8,resize_075,348,0.9655172413793104,1,11
pc1_no_qualification,11,8,resize_050,348,0.9454022988505747,1,17
pc1_no_qualification,11,8,crop_05,348,0.6293103448275862,0,-1
pc1_no_qualification,11,8,crop_10,348,0.4339080459770115,0,-1
pc1_no_qualification,11,8,crop_08_holdout,348,0.5287356321839081,0,-1
pc1_no_qualification,11,8,crop_12_holdout,348,0.382183908045977,0,-1
pc1_no_qualification,11,8,rotate_3,348,0.8908045977011494,1,36
pc1_no_qualification,11,8,rotate_7,348,0.7270114942528736,0,-1
pc1_no_qualification,11,8,rotate_5_holdout,348,0.7902298850574713,0,-1
pc1_no_qualification,11,8,rotate_9_holdout,348,0.6752873563218391,0,-1
pc1_no_qualification,11,9,clean,348,1.0,1,0
pc1_no_qualification,11,9,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,9,jpeg_50,348,0.9942528735632183,1,2
pc1_no_qualification,11,9,gaussian_5,348,0.9310344827586207,1,23
pc1_no_qualification,11,9,gaussian_12,348,0.9281609195402298,1,25
pc1_no_qualification,11,9,gaussian_9_holdout,348,0.9281609195402298,1,24
pc1_no_qualification,11,9,gaussian_15_holdout,348,0.9166666666666666,1,28
pc1_no_qualification,11,9,blur_0.8,348,0.9454022988505747,1,19
pc1_no_qualification,11,9,blur_1.5,348,0.8591954022988506,1,46
pc1_no_qualification,11,9,blur_1.2_holdout,348,0.8994252873563219,1,33
pc1_no_qualification,11,9,blur_1.8_holdout,348,0.8362068965517241,1,53
pc1_no_qualification,11,9,resize_075,348,0.9597701149425287,1,14
pc1_no_qualification,11,9,resize_050,348,0.9310344827586207,1,24
pc1_no_qualification,11,9,crop_05,348,0.617816091954023,0,-1
pc1_no_qualification,11,9,crop_10,348,0.43103448275862066,0,-1
pc1_no_qualification,11,9,crop_08_holdout,348,0.514367816091954,0,-1
pc1_no_qualification,11,9,crop_12_holdout,348,0.3879310344827586,0,-1
pc1_no_qualification,11,9,rotate_3,348,0.8879310344827587,1,36
pc1_no_qualification,11,9,rotate_7,348,0.7011494252873564,0,-1
pc1_no_qualification,11,9,rotate_5_holdout,348,0.7758620689655172,0,-1
pc1_no_qualification,11,9,rotate_9_holdout,348,0.6580459770114943,0,-1
attack_aware_qualified,11,0,clean,348,1.0,1,0
attack_aware_qualified,11,0,jpeg_80,348,1.0,1,0
attack_aware_qualified,11,0,jpeg_50,348,1.0,1,0
attack_aware_qualified,11,0,gaussian_5,348,1.0,1,0
attack_aware_qualified,11,0,gaussian_12,348,1.0,1,0
attack_aware_qualified,11,0,gaussian_9_holdout,348,1.0,1,0
attack_aware_qualified,11,0,gaussian_15_holdout,348,1.0,1,0
attack_aware_qualified,11,0,blur_0.8,348,1.0,1,0
attack_aware_qualified,11,0,blur_1.5,348,1.0,1,0
attack_aware_qualified,11,0,blur_1.2_holdout,348,1.0,1,0
attack_aware_qualified,11,0,blur_1.8_holdout,348,0.9827586206896551,1,6
attack_aware_qualified,11,0,resize_075,348,1.0,1,0
attack_aware_qualified,11,0,resize_050,348,1.0,1,0
attack_aware_qualified,11,0,crop_05,348,1.0,1,0
attack_aware_qualified,11,0,crop_10,348,1.0,1,0
attack_aware_qualified,11,0,crop_08_holdout,348,0.9971264367816092,1,1
attack_aware_qualified,11,0,crop_12_holdout,348,0.8994252873563219,1,34
attack_aware_qualified,11,0,rotate_3,348,1.0,1,0
attack_aware_qualified,11,0,rotate_7,348,1.0,1,0
attack_aware_qualified,11,0,rotate_5_holdout,348,1.0,1,0
attack_aware_qualified,11,0,rotate_9_holdout,348,0.9798850574712644,1,7
attack_aware_qualified,11,1,clean,348,1.0,1,0
attack_aware_qualified,11,1,jpeg_80,348,1.0,1,0
attack_aware_qualified,11,1,jpeg_50,348,1.0,1,0
attack_aware_qualified,11,1,gaussian_5,348,1.0,1,0
attack_aware_qualified,11,1,gaussian_12,348,1.0,1,0
attack_aware_qualified,11,1,gaussian_9_holdout,348,1.0,1,0
attack_aware_qualified,11,1,gaussian_15_holdout,348,0.9971264367816092,1,1
attack_aware_qualified,11,1,blur_0.8,348,1.0,1,0
attack_aware_qualified,11,1,blur_1.5,348,1.0,1,0
attack_aware_qualified,11,1,blur_1.2_holdout,348,1.0,1,0
attack_aware_qualified,11,1,blur_1.8_holdout,348,0.985632183908046,1,5
attack_aware_qualified,11,1,resize_075,348,1.0,1,0
attack_aware_qualified,11,1,resize_050,348,1.0,1,0
attack_aware_qualified,11,1,crop_05,348,1.0,1,0
attack_aware_qualified,11,1,crop_10,348,1.0,1,0
attack_aware_qualified,11,1,crop_08_holdout,348,0.9971264367816092,1,1
attack_aware_qualified,11,1,crop_12_holdout,348,0.8850574712643678,1,39
attack_aware_qualified,11,1,rotate_3,348,1.0,1,0
attack_aware_qualified,11,1,rotate_7,348,1.0,1,0
attack_aware_qualified,11,1,rotate_5_holdout,348,1.0,1,0
attack_aware_qualified,11,1,rotate_9_holdout,348,0.9798850574712644,1,7
attack_aware_qualified,11,2,clean,348,1.0,1,0
attack_aware_qualified,11,2,jpeg_80,348,1.0,1,0
attack_aware_qualified,11,2,jpeg_50,348,1.0,1,0
attack_aware_qualified,11,2,gaussian_5,348,1.0,1,0
attack_aware_qualified,11,2,gaussian_12,348,1.0,1,0
attack_aware_qualified,11,2,gaussian_9_holdout,348,1.0,1,0
attack_aware_qualified,11,2,gaussian_15_holdout,348,0.9971264367816092,1,1
attack_aware_qualified,11,2,blur_0.8,348,1.0,1,0
attack_aware_qualified,11,2,blur_1.5,348,1.0,1,0
attack_aware_qualified,11,2,blur_1.2_holdout,348,1.0,1,0
attack_aware_qualified,11,2,blur_1.8_holdout,348,0.9827586206896551,1,6
attack_aware_qualified,11,2,resize_075,348,1.0,1,0
attack_aware_qualified,11,2,resize_050,348,1.0,1,0
attack_aware_qualified,11,2,crop_05,348,1.0,1,0
attack_aware_qualified,11,2,crop_10,348,1.0,1,0
attack_aware_qualified,11,2,crop_08_holdout,348,0.9971264367816092,1,1
attack_aware_qualified,11,2,crop_12_holdout,348,0.8908045977011494,1,37
attack_aware_qualified,11,2,rotate_3,348,1.0,1,0
attack_aware_qualified,11,2,rotate_7,348,1.0,1,0
attack_aware_qualified,11,2,rotate_5_holdout,348,1.0,1,0
attack_aware_qualified,11,2,rotate_9_holdout,348,0.9741379310344828,1,9
attack_aware_qualified,11,3,clean,348,1.0,1,0
attack_aware_qualified,11,3,jpeg_80,348,1.0,1,0
attack_aware_qualified,11,3,jpeg_50,348,1.0,1,0
attack_aware_qualified,11,3,gaussian_5,348,1.0,1,0
attack_aware_qualified,11,3,gaussian_12,348,1.0,1,0
attack_aware_qualified,11,3,gaussian_9_holdout,348,1.0,1,0
attack_aware_qualified,11,3,gaussian_15_holdout,348,0.9942528735632183,1,2
attack_aware_qualified,11,3,blur_0.8,348,1.0,1,0
attack_aware_qualified,11,3,blur_1.5,348,1.0,1,0
attack_aware_qualified,11,3,blur_1.2_holdout,348,1.0,1,0
attack_aware_qualified,11,3,blur_1.8_holdout,348,0.9798850574712644,1,7
attack_aware_qualified,11,3,resize_075,348,1.0,1,0
attack_aware_qualified,11,3,resize_050,348,1.0,1,0
attack_aware_qualified,11,3,crop_05,348,1.0,1,0
attack_aware_qualified,11,3,crop_10,348,1.0,1,0
attack_aware_qualified,11,3,crop_08_holdout,348,0.9971264367816092,1,1
attack_aware_qualified,11,3,crop_12_holdout,348,0.8879310344827587,1,36
attack_aware_qualified,11,3,rotate_3,348,1.0,1,0
attack_aware_qualified,11,3,rotate_7,348,1.0,1,0
attack_aware_qualified,11,3,rotate_5_holdout,348,1.0,1,0
attack_aware_qualified,11,3,rotate_9_holdout,348,0.9741379310344828,1,9
attack_aware_qualified,11,4,clean,348,1.0,1,0
attack_aware_qualified,11,4,jpeg_80,348,1.0,1,0
attack_aware_qualified,11,4,jpeg_50,348,1.0,1,0
attack_aware_qualified,11,4,gaussian_5,348,1.0,1,0
attack_aware_qualified,11,4,gaussian_12,348,1.0,1,0
attack_aware_qualified,11,4,gaussian_9_holdout,348,1.0,1,0
attack_aware_qualified,11,4,gaussian_15_holdout,348,1.0,1,0
attack_aware_qualified,11,4,blur_0.8,348,1.0,1,0
attack_aware_qualified,11,4,blur_1.5,348,1.0,1,0
attack_aware_qualified,11,4,blur_1.2_holdout,348,1.0,1,0
