seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
29,5,blur_0.8,348,1.0,1,0
29,5,blur_1.5,348,1.0,1,0
29,5,blur_1.2_holdout,348,1.0,1,0
29,5,blur_1.8_holdout,348,0.9683908045977012,1,10
29,5,resize_075,348,1.0,1,0
29,5,resize_050,348,1.0,1,0
29,5,crop_05,348,1.0,1,0
29,5,crop_10,348,1.0,1,0
29,5,crop_08_holdout,348,0.9913793103448276,1,3
29,5,crop_12_holdout,348,0.8304597701149425,1,51
29,5,rotate_3,348,1.0,1,0
29,5,rotate_7,348,1.0,1,0
29,5,rotate_5_holdout,348,1.0,1,0
29,5,rotate_9_holdout,348,0.8706896551724138,1,42
29,6,clean,348,1.0,1,0
29,6,jpeg_80,348,1.0,1,0
29,6,jpeg_50,348,1.0,1,0
29,6,gaussian_5,348,1.0,1,0
29,6,gaussian_12,348,1.0,1,0
29,6,gaussian_9_holdout,348,1.0,1,0
29,6,gaussian_15_holdout,348,0.9683908045977012,1,11
29,6,blur_0.8,348,1.0,1,0
29,6,blur_1.5,348,1.0,1,0
29,6,blur_1.2_holdout,348,1.0,1,0
29,6,blur_1.8_holdout,348,0.9626436781609196,1,12
29,6,resize_075,348,1.0,1,0
29,6,resize_050,348,1.0,1,0
29,6,crop_05,348,1.0,1,0
29,6,crop_10,348,1.0,1,0
29,6,crop_08_holdout,348,0.9913793103448276,1,3
29,6,crop_12_holdout,348,0.8362068965517241,1,53
29,6,rotate_3,348,1.0,1,0
29,6,rotate_7,348,1.0,1,0
29,6,rotate_5_holdout,348,1.0,1,0
29,6,rotate_9_holdout,348,0.853448275862069,1,48
29,7,clean,348,1.0,1,0
29,7,jpeg_80,348,1.0,1,0
29,7,jpeg_50,348,1.0,1,0
29,7,gaussian_5,348,0.9971264367816092,1,1
29,7,gaussian_12,348,1.0,1,0
29,7,gaussian_9_holdout,348,1.0,1,0
29,7,gaussian_15_holdout,348,0.956896551724138,1,15
29,7,blur_0.8,348,1.0,1,0
29,7,blur_1.5,348,1.0,1,0
29,7,blur_1.2_holdout,348,1.0,1,0
29,7,blur_1.8_holdout,348,0.9626436781609196,1,12
29,7,resize_075,348,1.0,1,0
29,7,resize_050,348,1.0,1,0
29,7,crop_05,348,1.0,1,0
29,7,crop_10,348,1.0,1,0
29,7,crop_08_holdout,348,0.9913793103448276,1,3
29,7,crop_12_holdout,348,0.8333333333333334,1,53
29,7,rotate_3,348,1.0,1,0
29,7,rotate_7,348,1.0,1,0
29,7,rotate_5_holdout,348,1.0,1,0
29,7,rotate_9_holdout,348,0.8591954022988506,1,43
29,8,clean,348,1.0,1,0
29,8,jpeg_80,348,1.0,1,0
29,8,jpeg_50,348,1.0,1,0
29,8,gaussian_5,348,1.0,1,0
29,8,gaussian_12,348,1.0,1,0
29,8,gaussian_9_holdout,348,1.0,1,0
29,8,gaussian_15_holdout,348,0.9597701149425288,1,14
29,8,blur_0.8,348,1.0,1,0
29,8,blur_1.5,348,1.0,1,0
29,8,blur_1.2_holdout,348,1.0,1,0
29,8,blur_1.8_holdout,348,0.9655172413793104,1,11
29,8,resize_075,348,1.0,1,0
29,8,resize_050,348,1.0,1,0
29,8,crop_05,348,1.0,1,0
29,8,crop_10,348,1.0,1,0
29,8,crop_08_holdout,348,0.9942528735632185,1,2
29,8,crop_12_holdout,348,0.8333333333333334,1,55
29,8,rotate_3,348,1.0,1,0
29,8,rotate_7,348,1.0,1,0
29,8,rotate_5_holdout,348,1.0,1,0
29,8,rotate_9_holdout,348,0.867816091954023,1,42
29,9,clean,348,1.0,1,0
29,9,jpeg_80,348,1.0,1,0
29,9,jpeg_50,348,1.0,1,0
29,9,gaussian_5,348,1.0,1,0
29,9,gaussian_12,348,1.0,1,0
29,9,gaussian_9_holdout,348,1.0,1,0
29,9,gaussian_15_holdout,348,0.9511494252873564,1,17
29,9,blur_0.8,348,1.0,1,0
29,9,blur_1.5,348,1.0,1,0
29,9,blur_1.2_holdout,348,1.0,1,0
29,9,blur_1.8_holdout,348,0.9683908045977012,1,10
29,9,resize_075,348,1.0,1,0
29,9,resize_050,348,1.0,1,0
29,9,crop_05,348,1.0,1,0
29,9,crop_10,348,1.0,1,0
29,9,crop_08_holdout,348,0.9913793103448276,1,3
29,9,crop_12_holdout,348,0.8304597701149425,1,54
29,9,rotate_3,348,1.0,1,0
29,9,rotate_7,348,1.0,1,0
29,9,rotate_5_holdout,348,1.0,1,0
29,9,rotate_9_holdout,348,0.8620689655172413,1,45
47,0,clean,464,1.0,1,0
47,0,jpeg_80,464,1.0,1,0
47,0,jpeg_50,464,1.0,1,0
47,0,gaussian_5,464,1.0,1,0
47,0,gaussian_12,464,1.0,1,0
47,0,gaussian_9_holdout,464,1.0,1,0
47,0,gaussian_15_holdout,464,0.9935344827586208,1,3
47,0,blur_0.8,464,1.0,1,0
47,0,blur_1.5,464,1.0,1,0
47,0,blur_1.2_holdout,464,1.0,1,0
47,0,blur_1.8_holdout,464,1.0,1,0
47,0,resize_075,464,1.0,1,0
47,0,resize_050,464,1.0,1,0
47,0,crop_05,464,1.0,1,0
47,0,crop_10,464,1.0,1,0
47,0,crop_08_holdout,464,1.0,1,0
47,0,crop_12_holdout,464,0.8793103448275862,1,54
47,0,rotate_3,464,1.0,1,0
47,0,rotate_7,464,1.0,1,0
47,0,rotate_5_holdout,464,1.0,1,0
47,0,rotate_9_holdout,464,0.9051724137931034,1,42
47,1,clean,464,1.0,1,0
47,1,jpeg_80,464,1.0,1,0
47,1,jpeg_50,464,1.0,1,0
47,1,gaussian_5,464,1.0,1,0
47,1,gaussian_12,464,1.0,1,0
47,1,gaussian_9_holdout,464,1.0,1,0
47,1,gaussian_15_holdout,464,0.9935344827586208,1,3
47,1,blur_0.8,464,1.0,1,0
47,1,blur_1.5,464,1.0,1,0
47,1,blur_1.2_holdout,464,1.0,1,0
47,1,blur_1.8_holdout,464,1.0,1,0
47,1,resize_075,464,1.0,1,0
47,1,resize_050,464,1.0,1,0
47,1,crop_05,464,1.0,1,0
47,1,crop_10,464,1.0,1,0
47,1,crop_08_holdout,464,1.0,1,0
47,1,crop_12_holdout,464,0.8793103448275862,1,48
47,1,rotate_3,464,1.0,1,0
47,1,rotate_7,464,1.0,1,0
47,1,rotate_5_holdout,464,1.0,1,0
47,1,rotate_9_holdout,464,0.9073275862068966,1,41
47,2,clean,464,1.0,1,0
47,2,jpeg_80,464,1.0,1,0
47,2,jpeg_50,464,1.0,1,0
47,2,gaussian_5,464,1.0,1,0
47,2,gaussian_12,464,0.9978448275862069,1,1
47,2,gaussian_9_holdout,464,1.0,1,0
47,2,gaussian_15_holdout,464,0.9935344827586208,1,3
47,2,blur_0.8,464,1.0,1,0
47,2,blur_1.5,464,1.0,1,0
47,2,blur_1.2_holdout,464,1.0,1,0
47,2,blur_1.8_holdout,464,1.0,1,0
47,2,resize_075,464,1.0,1,0
47,2,resize_050,464,1.0,1,0
47,2,crop_05,464,1.0,1,0
47,2,crop_10,464,1.0,1,0
47,2,crop_08_holdout,464,1.0,1,0
47,2,crop_12_holdout,464,0.875,1,55
47,2,rotate_3,464,1.0,1,0
47,2,rotate_7,464,1.0,1,0
47,2,rotate_5_holdout,464,1.0,1,0
47,2,rotate_9_holdout,464,0.9051724137931034,1,40
47,3,clean,464,1.0,1,0
47,3,jpeg_80,464,1.0,1,0
47,3,jpeg_50,464,1.0,1,0
47,3,gaussian_5,464,1.0,1,0
47,3,gaussian_12,464,1.0,1,0
47,3,gaussian_9_holdout,464,1.0,1,0
47,3,gaussian_15_holdout,464,0.9935344827586208,1,3
47,3,blur_0.8,464,1.0,1,0
47,3,blur_1.5,464,1.0,1,0
47,3,blur_1.2_holdout,464,1.0,1,0
47,3,blur_1.8_holdout,464,1.0,1,0
47,3,resize_075,464,1.0,1,0
47,3,resize_050,464,1.0,1,0
47,3,crop_05,464,1.0,1,0
47,3,crop_10,464,1.0,1,0
47,3,crop_08_holdout,464,1.0,1,0
47,3,crop_12_holdout,464,0.8771551724137931,1,48
47,3,rotate_3,464,1.0,1,0
47,3,rotate_7,464,1.0,1,0
47,3,rotate_5_holdout,464,1.0,1,0
47,3,rotate_9_holdout,464,0.9030172413793104,1,42
47,4,clean,464,1.0,1,0
47,4,jpeg_80,464,1.0,1,0
47,4,jpeg_50,464,1.0,1,0
47,4,gaussian_5,464,1.0,1,0
47,4,gaussian_12,464,0.9978448275862069,1,1
47,4,gaussian_9_holdout,464,1.0,1,0
47,4,gaussian_15_holdout,464,0.9935344827586208,1,3
47,4,blur_0.8,464,1.0,1,0
47,4,blur_1.5,464,1.0,1,0
47,4,blur_1.2_holdout,464,1.0,1,0
47,4,blur_1.8_holdout,464,1.0,1,0
47,4,resize_075,464,1.0,1,0
47,4,resize_050,464,1.0,1,0
47,4,crop_05,464,1.0,1,0
47,4,crop_10,464,1.0,1,0
47,4,crop_08_holdout,464,1.0,1,0
47,4,crop_12_holdout,464,0.8814655172413793,1,51
47,4,rotate_3,464,1.0,1,0
47,4,rotate_7,464,1.0,1,0
47,4,rotate_5_holdout,464,1.0,1,0
47,4,rotate_9_holdout,464,0.9094827586206896,1,41
47,5,clean,464,1.0,1,0
47,5,jpeg_80,464,1.0,1,0
47,5,jpeg_50,464,1.0,1,0
47,5,gaussian_5,464,1.0,1,0
47,5,gaussian_12,464,1.0,1,0
47,5,gaussian_9_holdout,464,1.0,1,0
47,5,gaussian_15_holdout,464,0.9935344827586208,1,3
47,5,blur_0.8,464,1.0,1,0
47,5,blur_1.5,464,1.0,1,0
47,5,blur_1.2_holdout,464,1.0,1,0
47,5,blur_1.8_holdout,464,1.0,1,0
47,5,resize_075,464,1.0,1,0
47,5,resize_050,464,1.0,1,0
47,5,crop_05,464,1.0,1,0
47,5,crop_10,464,1.0,1,0
47,5,crop_08_holdout,464,1.0,1,0
47,5,crop_12_holdout,464,0.875,1,48
47,5,rotate_3,464,1.0,1,0
47,5,rotate_7,464,1.0,1,0
47,5,rotate_5_holdout,464,1.0,1,0
47,5,rotate_9_holdout,464,0.9073275862068966,1,41
47,6,clean,464,1.0,1,0
47,6,jpeg_80,464,1.0,1,0
47,6,jpeg_50,464,1.0,1,0
47,6,gaussian_5,464,1.0,1,0
47,6,gaussian_12,464,1.0,1,0
47,6,gaussian_9_holdout,464,1.0,1,0
47,6,gaussian_15_holdout,464,0.9935344827586208,1,3
47,6,blur_0.8,464,1.0,1,0
47,6,blur_1.5,464,1.0,1,0
47,6,blur_1.2_holdout,464,1.0,1,0
47,6,blur_1.8_holdout,464,1.0,1,0
47,6,resize_075,464,1.0,1,0
47,6,resize_050,464,1.0,1,0
47,6,crop_05,464,1.0,1,0
47,6,crop_10,464,1.0,1,0
47,6,crop_08_holdout,464,1.0,1,0
47,6,crop_12_holdout,464,0.8793103448275862,1,51
47,6,rotate_3,464,1.0,1,0
47,6,rotate_7,464,1.0,1,0
47,6,rotate_5_holdout,464,1.0,1,0
47,6,rotate_9_holdout,464,0.9073275862068966,1,40
47,7,clean,464,1.0,1,0
47,7,jpeg_80,464,1.0,1,0
47,7,jpeg_50,464,1.0,1,0
